Year,Platform,Genre,Name,Total_Sales
1900-01-01,PS2,Sports,Madden NFL 2004,10.469999999999999
1980-01-01,2600,Shooter,Asteroids,8.62
1981-01-01,2600,Platform,Pitfall!,9.0
1982-01-01,2600,Puzzle,Pac-Man,15.620000000000001
1983-01-01,NES,Sports,Baseball,6.4
1984-01-01,NES,Shooter,Duck Hunt,56.62
1985-01-01,NES,Platform,Super Mario Bros.,80.48
1986-01-01,NES,Action,The Legend of Zelda,13.009999999999998
1987-01-01,NES,Adventure,Zelda II: The Adventure of Link,8.76
1988-01-01,NES,Platform,Super Mario Bros. 3,34.56
1989-01-01,GB,Puzzle,Tetris,60.519999999999996
1990-01-01,SNES,Platform,Super Mario World,41.230000000000004
1991-01-01,SNES,Action,The Legend of Zelda: A Link to the Past,9.22
1992-01-01,GB,Adventure,Super Mario Land 2: 6 Golden Coins,22.36
1993-01-01,SNES,Platform,Super Mario All-Stars,21.1
1994-01-01,SNES,Platform,Donkey Kong Country,18.6
1995-01-01,SNES,Platform,Donkey Kong Country 2: Diddy's Kong Quest,10.3
1996-01-01,GB,Role-Playing,Pokemon Red/Pokemon Blue,62.75
1997-01-01,PS,Racing,Gran Turismo,21.9
1998-01-01,GB,Role-Playing,Pokémon Yellow: Special Pikachu Edition,29.28
1999-01-01,GB,Role-Playing,Pokemon Gold/Pokemon Silver,46.19
2000-01-01,GB,Role-Playing,Pokémon Crystal Version,12.78
2001-01-01,PS2,Racing,Gran Turismo 3: A-Spec,29.95
2002-01-01,PS2,Action,Grand Theft Auto: Vice City,32.3
2003-01-01,PS2,Racing,Need for Speed Underground,14.399999999999999
2004-01-01,PS2,Action,Grand Theft Auto: San Andreas,41.620000000000005
2005-01-01,DS,Simulation,Nintendogs,49.510000000000005
2006-01-01,Wii,Sports,Wii Sports,165.48000000000002
2007-01-01,Wii,Sports,Wii Fit,45.44
2008-01-01,Wii,Racing,Mario Kart Wii,71.65
2009-01-01,Wii,Sports,Wii Sports Resort,66.0
2010-01-01,X360,Misc,Kinect Adventures!,43.64
2011-01-01,X360,Shooter,Call of Duty: Modern Warfare 3,29.52
2012-01-01,PS3,Shooter,Call of Duty: Black Ops II,28.07
2013-01-01,PS3,Action,Grand Theft Auto V,42.79
2014-01-01,PS4,Action,Grand Theft Auto V,23.97
2015-01-01,PS4,Shooter,Call of Duty: Black Ops 3,28.479999999999997
2016-01-01,PS4,Sports,FIFA 17,9.549999999999999
2017-01-01,PS4,Role-Playing,Phantasy Star Online 2 Episode 4: Deluxe Package,0.06
2020-01-01,DS,Simulation,Imagine: Makeup Artist,0.5800000000000001
